,,Small Signal MOSFETS,,,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Channel,Package Type,"Drain-Source
Voltage
VDS (V)","Gate-Source
Voltage
VGS (V)","Drain
Current
ID (A)","RDS(ON)
Max
@VGS=10V
(Ω)","RDS(ON)
Max
@VGS=4.5V
(Ω)","RDS(ON)
Max
@VGS=2.5V
(Ω)","Gate
Threshold
Voltage
VGS(th) Min
(V)","Gate
Threshold
Voltage
VGS(th) Max
(V)","ESD
Diodes","Junction
Temperature
Tj [max]
MCC (Micro Commercial Components),SI2307K,Active,R H,Single,P,SOT-23,-30,±8,-3,,0.09,0.1,-0.4,-1.2,Yes,150
MCC (Micro Commercial Components),SI2303K,Active,R H,Single,P,SOT-23,-30,±8,-1,,0.43,0.49,-0.4,-1.3,Yes,150
MCC (Micro Commercial Components),BSS84K,Active,R H,Single,P,SOT-23,-60,±20,-0.13,6,7,,-0.8,-2.5,Yes,150
MCC (Micro Commercial Components),SI3139KWA,Active,R H,Single,P,SOT-323,-20,±12,-0.6,,0.85,1.2,-0.35,-1.1,Yes,150
MCC (Micro Commercial Components),BSS84KW,Active,R H,Single,P,SOT-323,-50,±20,-0.13,8,,,-0.9,-2,Yes,150
MCC (Micro Commercial Components),BSS84KM,Active,R H,Single,P,SOT-723,-60,±20,-0.26,6,7,,-0.8,-2.5,Yes,150
MCC (Micro Commercial Components),SI3139KL3B,Active,R H,Single,P,DFN1006-3,-20,±12,-0.65,,0.85,1.2,-0.35,-1.2,Yes,150
MCC (Micro Commercial Components),SI600P02UKL3,Active,R H,Single,P,DFN1006-3,-20,±12,-0.88,,0.86,1.2,-0.4,-1,Yes,150
MCC (Micro Commercial Components),SI06P02KL3,Active,R H,Single,P,DFN1006-3,-20,±8,-0.95,,0.58,0.72,-0.35,-1.2,Yes,150
MCC (Micro Commercial Components),SI2012KL3,Active,R H,Single,P,DFN1006-3,-20,±10,-0.98,,0.5,0.65,-0.45,-1,Yes,150
MCC (Micro Commercial Components),SI3139KL3A,Active,R H,Single,P,DFN1006-3,-20,±12,-0.65,,0.85,1.2,-0.35,-1.2,Yes,150
MCC (Micro Commercial Components),SI3139KL3C,Active,R H,Single,P,DFN1006-3A,-20,±12,-0.5,,0.85,1.2,-0.35,-1.2,Yes,150
MCC (Micro Commercial Components),BSS84KT,Active,R H,Single,P,SOT-523,-60,±20,-0.26,6,7,,-1,-2,Yes,150
MCC (Micro Commercial Components),SIL2623A,Active,R,Dual,P+P,SOT23-6L,-30,±20,-3,0.09,0.115,,-1,-2.5,No,150
MCC (Micro Commercial Components),SIL2301,Active,R,Dual,P+P,SOT23-6L,-20,±8,-2.3,,0.09,0.125,-0.4,-1,No,150
MCC (Micro Commercial Components),SIL3415CHE3,Active,A R,Single,P,SOT23-6L,-20,±10,-5,,0.045,,-0.5,-1.25,Yes,150
MCC (Micro Commercial Components),SIL085P03LK,Active,R H,Single,P,SOT23-6L,-30,±20,-3.1,0.085,0.142,,-1.0,-2.0,Yes,150
MCC (Micro Commercial Components),SIL800P02UK,Active,R H,Single,P,SOT23-6L,-20,±12,-0.84,,0.8,1.2,-0.33,-0.93,Yes,150
MCC (Micro Commercial Components),SIL3415,Active,R,Single,P,SOT23-6L,-20,±8,-4,,0.05,0.06,-0.3,-1,Yes,150
MCC (Micro Commercial Components),MCM2301,Active,R H,Dual,P+P,DFN2020-6L,-20,±10,-3.8,,0.055,0.075,-0.5,-0.9,No,150
MCC (Micro Commercial Components),BSS84DW,Active,R H,Dual,P+P,SOT-363,-60,±20,-0.16,8,,,-0.9,-2,No,150
MCC (Micro Commercial Components),SI2129DW,Active,R H,Dual,P+P,SOT-363,-20,±10,-1,,0.14,0.165,-0.4,-1,No,150
MCC (Micro Commercial Components),SIL2324A,Active,R,Dual,N+N,SOT23-6L,100,±20,2,0.28,0.3,,1,2,No,150
MCC (Micro Commercial Components),MCM3400A,Active,R H,Dual,N+N,DFN2020-6L,30,±12,5,0.032,0.038,0.045,0.7,1.5,No,150
MCC (Micro Commercial Components),SIL3724A,Active,R,Dual,N+P,SOT23-6L,30/-30,±20,4.5/-3.5,0.035/0.090,0.050/0.115,,1.0/-1.0,2.5/-2.5,No,150
MCC (Micro Commercial Components),SIL2429HE3,Active,A R,Dual,N+P,SOT23-6L,20/-20,±10,2.0/-1.6,,0.057/0.120,0.075/0.165,0.55/-0.4,1.1/-1.0,No,150
MCC (Micro Commercial Components),SIL2308,Active,R,Dual,N+P,SOT23-6L,20/-20,±10/±12,5/-4,,0.025/0.064,0.032/0.080,0.5/-0.5,1/-1,No,150
MCC (Micro Commercial Components),BSS84A,Active,R H,Single,P,SOT-23,-60,±30,-0.16,7.8,9.5,,-0.9,-2,No,150
MCC (Micro Commercial Components),SIL3400A,Active,R,Single,N,SOT23-6L,30,±12,5.8,0.032,0.038,0.045,0.5,1.5,No,150
MCC (Micro Commercial Components),SIL2612,Active,R,Single,N,SOT23-6L,200,±20,1,0.59,0.6,,1.3,2.5,No,150
MCC (Micro Commercial Components),SIL02N15A,Active,R,Single,N,SOT23-6L,150,±20,2,0.29,,,1,2.5,No,150
MCC (Micro Commercial Components),SIL3400AHE3,Active,A R,Single,N,SOT23-6L,30,±12,5.8,0.026,0.033,,0.5,1.5,No,150
MCC (Micro Commercial Components),SIL05N06HE3,Active,A R,Single,N,SOT23-6L,60,±20,5,0.043,0.047,,1,2.5,No,150
MCC (Micro Commercial Components),SIL08N02,Active,R,Single,N,SOT23-6L,20,±10,8,,0.017,0.021,0.45,1,No,150
MCC (Micro Commercial Components),SIL08N03,Active,R,Single,N,SOT23-6L,30,±20,8,0.014,0.016,,1,3,No,150
MCC (Micro Commercial Components),SIL05N06A,Active,R,Single,N,SOT23-6L,60,±20,5,0.043,0.047,,1,2.5,No,150
MCC (Micro Commercial Components),SIL03N10A,Active,R,Single,N,SOT23-6L,100,±20,3,0.12,0.14,,1.1,3,No,150
MCC (Micro Commercial Components),MCMN2014A,Active,R H,Single,N,DFN2020-6J,20,±10,13,,0.009,0.012,0.5,1.1,No,150
MCC (Micro Commercial Components),MCM05N06,Active,R H,Single,N,DFN2020-6J,60,±20,5,0.042,0.053,,1,2.5,No,150
MCC (Micro Commercial Components),MCMN2014HE3,Active,A R H,Single,N,DFN2020-6LE,12,±8,15,,0.009,0.011,0.4,1.1,No,150
