,,ESD Protection Devices,,,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,"Reverse
Standoff
Voltage
VRWM(V)","Peak Pulse
Current
IPP(A)","Max.
Clamping
Voltage
VC (V)","Junction
Capacitance
CJ(pF)","Peak Pluse
Power
Dissipation
PPPK (W)","Maximum
Reverse
Leakage
IR (uA)","Breakdown
Voltage
Min VBR(V)","Breakdown
Voltage
Max VBR(V)","Junction
Temperature
Tj [max] (°C)","VESDIEC61000-4-2
Air/Contact
(kV)"
,,,,,,,,,,,,,,,,
MCC (Micro Commercial Components),ESDLC5V0L2B,Active,R H,1,Bidirectional,DFN1006-2L,5,5,15,15,75,0.5,5.6,,150,±30
MCC (Micro Commercial Components),ESDHSB3V3LBHE3,Active,A R H,1,Bidirectional,DFN1006-2L,3.3,14,10,50,140,1,3.7,5,150,±30
MCC (Micro Commercial Components),ESDHSB5V0LBHE3,Active,A R H,1,Bidirectional,DFN1006-2L,5,11,11,40,121,1,5.7,8,150,±30
MCC (Micro Commercial Components),ESDULC3V3LBHE3,Active,A R H,1,Bidirectional,DFN1006-2L,3.3,4,20,0.65,80,0.1,4.8,7,150,±16
MCC (Micro Commercial Components),ESD12VLBHE3,Active,A R H,1,Bidirectional,DFN1006-2L,12,5,30,12,150,0.5,13.5,16.5,150,±30
MCC (Micro Commercial Components),ESD15VLBHE3,Active,A R H,1,Bidirectional,DFN1006-2L,15,4,35,10,140,0.5,15.5,19.5,150,±30
MCC (Micro Commercial Components),ESD24VLBHE3,Active,A R H,1,Bidirectional,DFN1006-2L,24,3.5,45,8.5,150,0.5,25.5,29.5,150,±30
MCC (Micro Commercial Components),ESD27VLBHE3,Active,A R H,1,Bidirectional,DFN1006-2L,27,2.5,75,6.5,180,0.5,31,38,150,±30
MCC (Micro Commercial Components),ESD36VLBHE3,Active,A R H,1,Bidirectional,DFN1006-2L,36,2.5,80,6,200,0.5,38,48,150,±30
MCC (Micro Commercial Components),ESD7V0LBHE3,Active,A R H,1,Bidirectional,DFN1006-2L,7,6,15,23,90,0.5,7.5,10.5,150,±30
MCC (Micro Commercial Components),ESDHSB5V0LB,Active,R H,1,Bidirectional,DFN1006-2,5,75,11.5,230,860,1,5.3,,125,±30
MCC (Micro Commercial Components),ESDLC0502P6,Active,R H,2,Unidirectional,DFN1610-6,5,5,15,0.8,75,0.5,6,,125,±30/±25
MCC (Micro Commercial Components),CSPSBULC3V3P6,Active,R H,2,Bidirectional,CSP1610-6,3.3,12,16.5,0.5,200,0.05,3.8,6,125,±30
MCC (Micro Commercial Components),ESDSLC5V0LTB,Active,R H,2,Unidirectional,DFN1006-3,5,5,15,0.8,75,0.1,6.4,,125,±25/±20
MCC (Micro Commercial Components),SRL05P7,Active,R H,4,Unidirectional,DFN1510-6,5,5,17,0.8,90,0.9,6.1,9.6,150,±20/±15
MCC (Micro Commercial Components),SRL05,Active,R,4,Unidirectional,SOT23-6L,5,5,17,0.8,90,0.9,6.1,9.6,150,±20/±15
MCC (Micro Commercial Components),ESDU5V0M5,Active,R H,4,Unidirectional,SOT-563,5,3.5,25,0.8,90,1,6,10,150,±25
MCC (Micro Commercial Components),ESDL5V0T2B,Active,R H,2,Bidirectional,SOT-23,5,2,14,5,28,0.2,5.6,9.5,125,±15/±8
MCC (Micro Commercial Components),SM24BHE3,Active,A R H,2,Bidirectional,SOT-23,24,5,60,15,300,0.2,27,,125,±30
MCC (Micro Commercial Components),ESDSB5V0T2BHE3,Active,A R H,2,Bidirectional,SOT-23,5,24,17,100,400,1,6,7.5,150,±30
MCC (Micro Commercial Components),SM24B,Active,R H,2,Bidirectional,SOT-23,24,5,60,15,300,0.2,27,,125,±30
MCC (Micro Commercial Components),ESDLSB5V0LTBA,Active,R H,2,Bidirectional,DFN1006-3B,5,8,12,20,96,0.1,5.3,,125,±30
