Manufacture,Product,Status,Compliance,Number of Functions,Channel,Package Type,Drain-Source Voltage VDS (V),Gate-Source Voltage VGS (V),Drain Current ID (A),Drain-Source On-Resistance RDS(ON) Max @VGS=10V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=4.5V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=2.5V (Ω),Gate Threshold Voltage VGS(th) Min (V),Gate Threshold Voltage VGS(th) Max (V),ESD Diodes,Junction Temperature Tj [max] (°C),Single Pulsed Avalanche Energy EAS(mJ),Pulsed Drain Current IDM(A)
MCC (Micro Commercial Components),MCG018N06LHE3,Active,A R H,Single,N,PDFN3333,60,±20,30,0.018,0.022,,1,2,No,150,55,120
MCC (Micro Commercial Components),MCGWF5D5N06YLHE3,Active,A R H,Single,N,DFN3333-8(SWF),60,±20,86,0.0055,0.009,,1,2.5,No,175,112.5,344
MCC (Micro Commercial Components),MCGWF011N10YLHE3,Active,A R H,Single,N,DFN3333-8(SWF),100,±20,65,0.011,0.016,,1,2.5,No,175,81,260
MCC (Micro Commercial Components),MCAC140N04YHE3,Active,A R H,Single,N,DFN5060,40,±20,140,0.002,0.0039,,1,3,No,175,169,560
MCC (Micro Commercial Components),MCG062N15Y,Active,R H,Single,N,PDFN3333,150,±20,14,0.062,,,2,4,No,150,7,56
MCC (Micro Commercial Components),MCG080N06LHE3,Active,A R H,Single,N,PDFN3333-B,60,±20,9,0.08,0.09,,0.9,2,No,150,12,36
MCC (Micro Commercial Components),MCG240N10L,Active,R H,Single,N,DFN3333,100,±20,5,0.24,0.25,,1.1,3,No,150,4,20
MCC (Micro Commercial Components),MCQ014N10YL,Active,R H,Single,N,SOP-8,100,±20,11,0.014,0.017,,1,3,No,150,121,44
MCC (Micro Commercial Components),MCAC120N04Y,Active,R H,Single,N,DFN5060,40,±20,120,0.0031,,,2,4,No,175,156,480
MCC (Micro Commercial Components),MCAC012N10YL,Active,R H,Single,N,DFN5060,100,±20,58,0.012,0.017,,1,2.5,No,175,81,232
