,,Fast Recovery Rectifiers,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Package Type,IF(AV)(A),VRWM (V),"VF
(V) [max]@IF(A)","IR (uA)  [max] @
VR",TRR (μs),IFSM (A),IF(A),VR (V),"Tj [max]
(°C)"
,,,,,,,,,,,,,,
MCC (Micro Commercial Components),FR602GP,Active,R,Single,R-6,6,100,1.3,10,0.15,200,6,100,150
MCC (Micro Commercial Components),FR604GP,Active,R,Single,R-6,6,400,1.3,10,0.15,200,6,400,150
MCC (Micro Commercial Components),FR605GP,Active,R,Single,R-6,6,600,1.3,10,0.25,200,6,600,150
MCC (Micro Commercial Components),FR607GP,Active,R,Single,R-6,6,1000,1.3,10,0.5,200,6,1000,150
MCC (Micro Commercial Components),FR1004GP,Active,R,Single,R-6,10,400,1.3,5,0.15,250,10,400,150
MCC (Micro Commercial Components),FR1005GP,Active,R,Single,R-6,10,600,1.3,5,0.25,250,10,600,150
MCC (Micro Commercial Components),FR1007GP,Active,R,Single,R-6,10,1000,1.3,5,0.5,250,10,1000,150
MCC (Micro Commercial Components),FM2000GP,Active,R H,Single,SMA,0.5,2000,2.5,5,0.5,30,0.5,2000,150
MCC (Micro Commercial Components),FS1B-L,Active,R H,Single,SMA,1,100,1.3,5,0.15,30,1,100,150
MCC (Micro Commercial Components),FS1D-L,Active,R H,Single,SMA,1,200,1.3,5,0.15,30,1,200,150
MCC (Micro Commercial Components),FS1G-L,Active,R H,Single,SMA,1,400,1.3,5,0.15,30,1,400,150
MCC (Micro Commercial Components),FS1J-L,Active,R H,Single,SMA,1,600,1.3,5,0.25,30,1,600,150
MCC (Micro Commercial Components),FS1K-L,Active,R H,Single,SMA,1,800,1.3,5,0.5,30,1,800,150
MCC (Micro Commercial Components),FS1M-L,Active,R H,Single,SMA,1,1000,1.3,5,0.5,30,1,1000,150
MCC (Micro Commercial Components),FS2J-L,Active,R H,Single,SMA,2,600,1.3,5,0.25,50,2,600,150
MCC (Micro Commercial Components),FS2K-L,Active,R H,Single,SMA,2,800,1.3,5,0.5,50,2,800,150
MCC (Micro Commercial Components),FS2M-L,Active,R H,Single,SMA,2,1000,1.3,5,0.5,50,2,1000,150
