,,Small Signal Schottky Diodes,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,IF(AV)(A),VRWM (V),"VF
(V) [max]@IF(A)","IR (uA) [max] @
VR",VR (V),IF(A),Tj [max] (°C)
,,,,,,,,,,,,,
MCC (Micro Commercial Components),RB551V-30S,Active,R H,Single,,SOD-323,0.5,30,0.47,100,20,0.5,125
MCC (Micro Commercial Components),RB551V-40,Active,R H,Single,,SOD-323,0.5,40,0.47,100,40,0.5,125
MCC (Micro Commercial Components),RB751V-40,Active,R H,Single,,SOD-323,0.03,40,0.37,0.5,30,0.001,125
MCC (Micro Commercial Components),RB751V-40HE3,Active,A R H,Single,,SOD-323,0.03,40,0.37,0.5,30,0.001,125
MCC (Micro Commercial Components),BAT43WS,Active,R H,Single,,SOD-323,0.2,30,0.45,0.5,25,0.015,125
MCC (Micro Commercial Components),BAT46WS,Active,R H,Single,,SOD-323,0.15,100,1,0.5,10,0.25,125
MCC (Micro Commercial Components),BAT42WS,Active,R H,Single,,SOD-323,0.2,30,1,0.5,25,0.2,125
MCC (Micro Commercial Components),BAT54WSHE3,Active,A R H,Single,,SOD-323,0.2,30,1,2,25,0.1,125
MCC (Micro Commercial Components),BAT54WSH,Active,R H,Single,,SOD-323,0.3,40,0.9,1,30,0.1,150
MCC (Micro Commercial Components),B5818WS,Active,R H,Single,,SOD-323,1,30,0.55,40,30,1,125
MCC (Micro Commercial Components),B5818WSHE3,Active,A R H,Single,,SOD-323,1,30,0.55,40,30,1,125
MCC (Micro Commercial Components),B5819WS,Active,R H,Single,,SOD-323,1,40,0.6,40,40,1,125
MCC (Micro Commercial Components),B5819WSHE3,Active,A R H,Single,,SOD-323,1,40,0.6,40,40,1,125
MCC (Micro Commercial Components),B5817WS,Active,R H,Single,,SOD-323,1,20,0.45,200,20,1,125
MCC (Micro Commercial Components),B5817WSHE3,Active,A R H,Single,,SOD-323,1,20,0.45,200,20,1,125
MCC (Micro Commercial Components),B0540WS,Active,R H,Single,,SOD-323,0.5,40,0.55,80,40,0.5,125
MCC (Micro Commercial Components),B0540WSHE3,Active,A R H,Single,,SOD-323,0.5,40,0.55,80,40,0.5,125
MCC (Micro Commercial Components),B0560WS,Active,R H,Single,,SOD-323,0.5,60,0.7,100,60,0.5,125
MCC (Micro Commercial Components),SD101AWSHE3,Active,A R H,Single,,SOD-323,0.015,60,0.41,0.2,50,0.001,125
MCC (Micro Commercial Components),SD101BWSHE3,Active,A R H,Single,,SOD-323,0.015,50,0.4,0.2,40,0.001,125
MCC (Micro Commercial Components),SD101CWSHE3,Active,A R H,Single,,SOD-323,0.015,40,0.39,0.2,30,0.001,125
MCC (Micro Commercial Components),SD103CWSHE3,Active,A R H,Single,,SOD-323,0.35,20,0.37,5,10,0.02,125
MCC (Micro Commercial Components),SD103BWSHE3,Active,A R H,Single,,SOD-323,0.35,30,0.37,5,20,0.02,125
MCC (Micro Commercial Components),SD103AWSHE3,Active,A R H,Single,,SOD-323,0.35,40,0.37,5,30,0.02,125
MCC (Micro Commercial Components),B0530WSHE3,Active,A R H,Single,,SOD-323,0.5,30,0.55,300,30,0.5,125
MCC (Micro Commercial Components),BAT54WS,Active,R H,Single,,SOD-323,0.2,30,1,2,25,0.1,125
MCC (Micro Commercial Components),B0530WS,Active,R H,Single,,SOD-323,0.5,30,0.55,300,30,0.5,125
