,,TVS,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Configuration,Package Type,"Peak Pulse
Power
Dissipation
PPPM (W)","Reverse
Standoff
Voltage
VRWM(V)","Reverse
Leakage
IR(uA)","Max.
Clamping
Voltage
VC (V)","Peak Pulse
Current
IPP(A) ","Breakdown
Voltage
Min VBR(V)","Breakdown
Voltage
Max VBR(V)","Junction
Temperature
Tj [max] (°C)"
,,,,,,,,,,,,,
MCC (Micro Commercial Components),SM4H19AHE3,Active,A R H,Unidirectional,SOD-123HL,400,19,1,30.6,13.08,21.1,23.3,150
MCC (Micro Commercial Components),SM4H43AHE3,Active,A R H,Unidirectional,SOD-123HL,400,43,1,69.4,5.76,47.8,52.8,150
MCC (Micro Commercial Components),SM4H200AHE3,Active,A R H,Unidirectional,SOD-123HL,400,200,1,324,1.2,224,247,150
MCC (Micro Commercial Components),SM4H220AHE3,Active,A R H,Unidirectional,SOD-123HL,400,220,1,356,1.1,246,272,150
MCC (Micro Commercial Components),SM4H5.0AHE3,Active,A R H,Unidirectional,SOD-123HL,400,5,800,9.2,43.38,6.4,7.07,150
MCC (Micro Commercial Components),SM4H6.0AHE3,Active,A R H,Unidirectional,SOD-123HL,400,6,800,10.3,38.83,6.67,7.37,150
MCC (Micro Commercial Components),SM4H13AHE3,Active,A R H,Unidirectional,SOD-123HL,400,13,1,20,18.6,14.4,15.9,150
MCC (Micro Commercial Components),SM4H14AHE3,Active,A R H,Unidirectional,SOD-123HL,400,14,1,23.2,17.24,15.6,17.2,150
MCC (Micro Commercial Components),SM4H140AHE3,Active,A R H,Unidirectional,SOD-123HL,400,140,1,226.8,1.76,155,171,150
MCC (Micro Commercial Components),SM4H150AHE3,Active,A R H,Unidirectional,SOD-123HL,400,150,1,243,1.65,167,185,150
MCC (Micro Commercial Components),SM4H160AHE3,Active,A R H,Unidirectional,SOD-123HL,400,160,1,259,1.54,178,197,150
MCC (Micro Commercial Components),SM4H170AHE3,Active,A R H,Unidirectional,SOD-123HL,400,170,1,275,1.45,189,209,150
MCC (Micro Commercial Components),SM4H180AHE3,Active,A R H,Unidirectional,SOD-123HL,400,180,1,291.6,1.37,200,220,150
MCC (Micro Commercial Components),SM4H190AHE3,Active,A R H,Unidirectional,SOD-123HL,400,190,1,307.8,1.3,211,232,150
MCC (Micro Commercial Components),SM4H85AHE3,Active,A R H,Unidirectional,SOD-123HL,400,85,1,137,2.92,94.4,104,150
MCC (Micro Commercial Components),SM4H90AHE3,Active,A R H,Unidirectional,SOD-123HL,400,90,1,146,2.74,100,111,150
MCC (Micro Commercial Components),SM4H100AHE3,Active,A R H,Unidirectional,SOD-123HL,400,100,1,162,2.46,111,123,150
MCC (Micro Commercial Components),SM4H110AHE3,Active,A R H,Unidirectional,SOD-123HL,400,110,1,177,2.26,122,135,150
MCC (Micro Commercial Components),SM4H120AHE3,Active,A R H,Unidirectional,SOD-123HL,400,120,1,193,2.07,133,147,150
MCC (Micro Commercial Components),SM4H130AHE3,Active,A R H,Unidirectional,SOD-123HL,400,130,1,209,1.91,144,159,150
MCC (Micro Commercial Components),SM4H33AHE3,Active,A R H,Unidirectional,SOD-123HL,400,33,1,53.3,7.5,36.7,40.6,150
MCC (Micro Commercial Components),SM4H36AHE3,Active,A R H,Unidirectional,SOD-123HL,400,36,1,58.1,6.88,40,44.2,150
MCC (Micro Commercial Components),SM4H40AHE3,Active,A R H,Unidirectional,SOD-123HL,400,40,1,64.5,6.2,44.4,49.1,150
MCC (Micro Commercial Components),SM4H75AHE3,Active,A R H,Unidirectional,SOD-123HL,400,75,1,121,3.3,83.3,92.1,150
MCC (Micro Commercial Components),SM4H78AHE3,Active,A R H,Unidirectional,SOD-123HL,400,78,1,126,3.18,86.7,95.8,150
MCC (Micro Commercial Components),SM4H80AHE3,Active,A R H,Unidirectional,SOD-123HL,400,80,1,129,3.1,88.8,97.6,150
MCC (Micro Commercial Components),AK3-380C-Y,Active,R H,Bidirectional,AK-Y,,380,10,520,3000,401,443,150
MCC (Micro Commercial Components),AK3-430C-Y,Active,R H,Bidirectional,AK-Y,,430,10,625,3000,440,490,150
MCC (Micro Commercial Components),AK3-560C-Y,Active,R H,Bidirectional,AK-Y,,560,10,760,3000,585,650,150
MCC (Micro Commercial Components),AK6-380C-Y,Active,R H,Bidirectional,AK-Y,,380,10,540,6000,401,443,150
MCC (Micro Commercial Components),AK6-430C-Y,Active,R H,Bidirectional,AK-Y,,430,10,625,6000,440,490,150
MCC (Micro Commercial Components),AK6-560C-Y,Active,R H,Bidirectional,AK-Y,,560,10,760,6000,585,650,150
MCC (Micro Commercial Components),AK10-380C-Y,Active,R H,Bidirectional,AK-Y,,380,10,540,10000,401,443,150
MCC (Micro Commercial Components),AK10-430C-Y,Active,R H,Bidirectional,AK-Y,,430,10,625,10000,440,490,150
MCC (Micro Commercial Components),AK10-560C-Y,Active,R H,Bidirectional,AK-Y,,560,10,760,10000,585,650,150
MCC (Micro Commercial Components),SM8Z10AHE3,Active,A R,Unidirectional,DO-218AB,8000,10,15,17,470.6,11.1,12.3,175
MCC (Micro Commercial Components),SM8Z11AHE3,Active,A R,Unidirectional,DO-218AB,8000,11,10,18.2,439.6,12.2,13.5,175
MCC (Micro Commercial Components),SM8Z12AHE3,Active,A R,Unidirectional,DO-218AB,8000,12,10,19.9,402,13.3,14.7,175
MCC (Micro Commercial Components),SM8Z13AHE3,Active,A R,Unidirectional,DO-218AB,8000,13,10,21.5,372.1,14.4,15.9,175
MCC (Micro Commercial Components),SM8Z14AHE3,Active,A R,Unidirectional,DO-218AB,8000,14,10,23.2,344.8,15.6,17.2,175
MCC (Micro Commercial Components),SM8Z15AHE3,Active,A R,Unidirectional,DO-218AB,8000,15,10,24.4,327.9,16.7,18.5,175
MCC (Micro Commercial Components),SM8Z40CAHE3,Active,A R,Bidirectional,DO-218AB,8000,40,10,64.5,124,44.4,49.1,175
MCC (Micro Commercial Components),SM8Z43CAHE3,Active,A R,Bidirectional,DO-218AB,8000,43,10,69.4,115.3,47.8,52.8,175
MCC (Micro Commercial Components),SMHEB33A,Active,R H,Unidirectional,SOD-323HE-B,200,33,1,53.3,3.75,36.7,40.6,150
MCC (Micro Commercial Components),SMHEB36A,Active,R H,Unidirectional,SOD-323HE-B,200,36,1,58.1,3.44,40,44.2,150
MCC (Micro Commercial Components),SMHEB16A,Active,R H,Unidirectional,SOD-323HE-B,200,16,1,26,7.69,17.8,19.7,150
MCC (Micro Commercial Components),SMHEB17A,Active,R H,Unidirectional,SOD-323HE-B,200,17,1,27.6,7.25,18.9,20.9,150
MCC (Micro Commercial Components),SMHEB18A,Active,R H,Unidirectional,SOD-323HE-B,200,18,1,29.2,6.85,20,22.1,150
