Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,IF(AV)(A),VRWM(V),VF (V) [max]@IF(A),IR(uA) [max] @ VR,TRR (μs),VR (V),IF(A),PD (mW),Tj [max] (°C)
MCC (Micro Commercial Components),MMBD4448WT,Active,R H,Single,,SOT-323,0.25,100,0.72,0.025,0.004,20,0.005,200,150
MCC (Micro Commercial Components),MMBD4148WT,Active,R H,Single,,SOT-323,0.15,75,1,1,0.004,75,0.05,200,150
MCC (Micro Commercial Components),BAS19WT,Active,R H,Single,,SOT-323,0.2,100,1,0.1,0.05,100,0.1,200,150
MCC (Micro Commercial Components),BAS20WT,Active,R H,Single,,SOT-323,0.2,150,1,0.1,0.05,150,0.1,200,150
MCC (Micro Commercial Components),BAS21WT,Active,R H,Single,,SOT-323,0.2,200,1,0.1,0.05,200,0.1,200,150
MCC (Micro Commercial Components),MMBD4148,Active,R H,Single,,SOT-23,0.2,100,0.855,0.025,0.004,20,0.01,350,150
MCC (Micro Commercial Components),MMBD4448,Active,R H,Single,,SOT-23,0.25,100,0.72,0.025,0.004,20,0.005,350,150
MCC (Micro Commercial Components),MMBD4148HE3,Active,A R H,Single,,SOT-23,0.2,100,0.855,0.025,0.004,20,0.01,350,150
MCC (Micro Commercial Components),BAS16W,Active,R H,Single,,SOD-123,0.1,75,1.25,1,0.006,75,0.15,350,150
MCC (Micro Commercial Components),BAV19W,Active,R H,Single,,SOD-123,0.25,120,1,0.1,0.05,100,0.1,410,150
MCC (Micro Commercial Components),BAV20W,Active,R H,Single,,SOD-123,0.25,200,1,0.1,0.05,150,0.1,410,150
MCC (Micro Commercial Components),BAV21W,Active,R H,Single,,SOD-123,0.25,250,1,0.1,0.05,200,0.1,410,150
MCC (Micro Commercial Components),1N4148W,Active,R H,Single,,SOD-123,0.15,100,0.715,50,0.004,75,0.001,400,150
MCC (Micro Commercial Components),1N4448W,Active,R H,Single,,SOD-123,0.25,100,1,0.025,0.004,20,0.1,500,125
MCC (Micro Commercial Components),BAV3004W,Active,R H,Single,,SOD-123,0.225,300,1,0.1,0.05,240,0.1,400,150
MCC (Micro Commercial Components),BAV116W,Active,R H,Single,,SOD-123,0.215,130,1.25,0.005,3,75,0.15,350,125
MCC (Micro Commercial Components),1N4148WHE3,Active,A R H,Single,,SOD-123,0.15,100,0.715,50,0.004,75,0.001,400,150
MCC (Micro Commercial Components),BAV21WHE3,Active,A R H,Single,,SOD-123,0.25,250,1,0.1,0.05,200,0.1,410,150
MCC (Micro Commercial Components),1N4448WHE3,Active,A R H,Single,,SOD-123,0.25,100,1,0.025,0.004,20,0.1,500,150
MCC (Micro Commercial Components),BAS16WHE3,Active,A R H,Single,,SOD-123,0.1,75,1.25,1,0.006,75,0.15,350,150
MCC (Micro Commercial Components),BAV19WHE3,Active,A R H,Single,,SOD-123,0.25,120,1,0.1,0.05,100,0.1,410,150
MCC (Micro Commercial Components),BAV116WHE3,Active,A R H,Single,,SOD-123,0.215,85,1.25,0.005,3,75,0.15,250,150
MCC (Micro Commercial Components),BAV20WHE3,Active,A R H,Single,,SOD-123,0.25,200,1,0.1,0.05,150,0.1,410,150
